Season,Age,Team,Lg,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards
2024,24,WAS,NFL,QB,17,17,107,104,110,107,116,111,107,86,114,"PB,AP MVP-7,AP OPoY-17,AP ORoY-1"
1 Yr,,17,17,107,104,110,107,116,111,107,86,114,,,,
