Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Jonathan Greenard,2024-09-22,MIN,,HOU,"W, 34-7",3,1,0,0,0,0,3.0,0
Nick Herbig,2024-09-22,PIT,,LAC,"W, 20-10",3,0,0,0,0,0,2.0,1
Bryan Bresee,2024-09-22,NOR,,PHI,"L, 12-15",2,0,0,0,0,0,2.0,0
Derick Hall,2024-09-22,SEA,,MIA,"W, 24-3",4,1,0,0,0,0,2.0,1
Jaire Alexander,2024-09-22,GNB,@,TEN,"W, 30-14",4,1,1,35,1,1,0.0,0
