Player,Date,Tm,,Opp,,Rec,Yds,TD
Nico Collins,2024-09-15,HOU,,CHI,"W, 19-13",8,135,1
Justin Jefferson,2024-09-15,MIN,,SFO,"W, 23-17",4,133,1
Marvin Harrison Jr.,2024-09-15,ARI,,LAR,"W, 41-10",4,130,2
D.K. Metcalf,2024-09-15,SEA,@,NWE,"W, 23-20",10,129,1
Malik Nabers,2024-09-15,NYG,@,WAS,"L, 18-21",10,127,1
