Player,Date,Tm,,Opp,,Att,Yds,TD
Rico Dowdle,2024-12-15,DAL,@,CAR,"W, 30-14",25,149,0
Bijan Robinson,2024-12-16,ATL,@,LVR,"W, 15-9",22,125,0
Bucky Irving,2024-12-15,TAM,@,LAC,"W, 40-17",15,117,0
James Conner,2024-12-15,ARI,,NWE,"W, 30-17",16,110,2
Kyren Williams,2024-12-12,LAR,@,SFO,"W, 12-6",29,108,0
