Name,Role
Dan Campbell,"Offensive Coordinator, Tight Ends"
Adam Gase,"Assistant WR Coach, Wide Receivers"
Matt Patricia,"Off. Quality Control, Tight Ends"
Joe Philbin,"Assistant QB Coach, Assistant QB Coach/Tight Ends, Offensive Assistant"
