Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,Rushing,Passing,,,,,,,,,,,,,,,,,,
Location,#Pl,ToGo,Yds,Att,Yds,Y/A,TD,1D,Cmp,Att,Cmp%,Yds,Y/A,TD,Int,Sk,1D,Rate,ANY/A,
Home,17023,8.49,5.48,7343,32369,4.4,261,1831,5929,9036,65.6,65043,7.2,428,201,643,3143,93.3,6.7,All Home 2024 plays
Away,16788,8.53,5.38,7341,32804,4.5,250,1851,5700,8775,65,61981,7.1,381,186,671,2961,91.3,6.5,All Away 2024 plays
