Player,Date,Tm,,Opp,,Att,Yds,TD
Bucky Irving,2024-12-01,TAM,@,CAR,"W, 26-23",25,152,1
Alvin Kamara,2024-12-01,NOR,,LAR,"L, 14-21",23,112,0
Rico Dowdle,2024-11-28,DAL,,NYG,"W, 27-20",22,112,1
James Cook,2024-12-01,BUF,,SFO,"W, 35-10",14,107,1
Saquon Barkley,2024-12-01,PHI,@,BAL,"W, 24-19",23,107,1
