Player,Date,Tm,,Opp,,Att,Yds,TD
Josh Jacobs,2024-09-15,GNB,,IND,"W, 16-10",32,151,0
Brian Robinson Jr.,2024-09-15,WAS,,NYG,"W, 21-18",17,133,0
J.K. Dobbins,2024-09-15,LAC,@,CAR,"W, 26-3",17,131,1
James Conner,2024-09-15,ARI,,LAR,"W, 41-10",21,122,1
Alvin Kamara,2024-09-15,NOR,@,DAL,"W, 44-19",20,115,3
