Year,Age,G,FantPos,FantPt,VBD,PosRank,OvRank,
2022,23,9,QB,106,,33,,All 2022 Games
2023,24,16,QB,296,31,6,31,All 2023 Games
2024,25,15,QB,267,,13,75,All 2024 Games
,,,,669,,,,Career Summary
