Year,Age,G,FantPos,FantPt,VBD,PosRank,OvRank,
2018,21,16,RB,295,163,2,2,All 2018 Games
2019,22,13,RB,192,52,10,21,All 2019 Games
2020,23,2,RB,9,,119,,All 2020 Games
2021,24,13,RB,108,,34,,All 2021 Games
2022,25,16,RB,227,82,6,15,All 2022 Games
2023,26,14,RB,182,23,13,43,All 2023 Games
2024,27,16,RB,322,163,1,1,All 2024 Games
,,,,1335,,,,Career Summary
