Season,Age,Team,Lg,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards
2018,22,BUF,NFL,QB,12,11,86,83,78,77,60,86,77,89,70,
2019,23,BUF,NFL,QB,16,16,89,88,93,92,77,97,106,91,91,
2020,24,BUF,NFL,QB,16,16,116,120,119,121,120,119,110,115,121,"PB,AP-2,AP MVP-2,AP OPoY-4"
2021,25,BUF,NFL,QB,17,17,93,101,98,103,93,110,99,116,101,
2022,26,BUF,NFL,QB,16,16,112,115,113,115,94,122,96,107,110,"PB,AP MVP-3,AP OPoY-8"
2023,27,BUF,NFL,QB,17,17,109,116,104,109,110,112,82,121,105,"AP MVP-5,AP OPoY-6"
2024,28,BUF,NFL,QB,17,17,113,123,120,127,95,118,120,130,116,"PB,AP-2,AP MVP-1,AP OPoY-6"
7 Yrs,,111,110,104,108,105,108,95,111,99,111,104,,,,
