Player,Date,Tm,,Opp,,Rec,Yds,TD
Malik Nabers,2024-12-29,NYG,,IND,"W, 45-33",7,171,2
Ricky Pearsall,2024-12-30,SFO,,DET,"L, 34-40",8,141,1
Tee Higgins,2024-12-28,CIN,,DEN,"W, 30-24",11,131,3
Puka Nacua,2024-12-28,LAR,,ARI,"W, 13-9",10,129,0
Trey McBride,2024-12-28,ARI,@,LAR,"L, 9-13",12,123,1
