NumYrs,Players whose career was of similar quality and shape
3,"Jeff George, Dan Fouts*, Mike Pagel, Vinny Testaverde, Phil Simms, Dan Pastorini, Joey Harrington, Bill Munson, Roman Gabriel, Scott Hunter"
4,"Jeff George, Roman Gabriel, Dan Pastorini, Joey Harrington, Phil Simms, Steve Bartkowski, Mark Sanchez, Mike Pagel, Vinny Testaverde, Archie Manning"
5,"Steve Bartkowski, Joey Harrington, Kerry Collins, Vinny Testaverde, Roman Gabriel, Jeff George, Tom Flores*, Archie Manning, Mike Tomczak, Rodney Peete"
Career,"Mike Pagel, Kyle Boller, Mark Malone, Scott Hunter, Charlie Batch, Vince Young, Joey Harrington, Mark Sanchez, Rick Mirer, Gary Cuozzo"
